index,sentences
40,"Rainfall was light along the coast, totaling to around 0.34 inches(8.6 mm)."
41,"However, outer bands of the storm produced heavier rainfall in the center portion of the state, peaking at 4.09 inches(0.104 m) at Charlottesville."
42,"The storm also produced higher than usual tides, peaking at 4.42 feet(1.35 m) at the mouth of the Elizabeth River in Sewells Point, as well as strong waves along the Virginia coastline."
43,"The waves caused significant overwash, leaving parts of Norfolk under 2 feet(0.61 m) of water."
44,"Several homes, businesses, and cars were flooded, as well."
45,The waves also eroded beaches along the coast.
46,"Overall, damage was minimal, and there were no reports of deaths or injuries."
47,"Upon making landfall Danielle produced an estimated storm tide of 2 to 3 feet(0.61 to 0.91 m) in Ocean City, Maryland."
48,"Wind gusts peaked at 53 mph(85 km/h), also in Ocean City."
49,"The storm produced moderate rainfall of over 3 inches(76 mm) across the Eastern Shore of Maryland, while interior amounts experienced slightly lesser amounts of up to 2.79 inches(71 mm) in Pasadena."
50,"Waves from the storm caused minor to moderate beach erosion along the coastline, and the combination of waves and high tides caused moderate street flooding."
51,"Near Salisbury, the storm produced a possible hook echo, though no tornadoes were reported."
52,Danielle caused no deaths or injuries in the state.
53,"In Delaware, the storm dropped light precipitation, with a maximum amount of 3.75 inches(95 mm) in Smyrna."
54,Wind gusts peaked at 66 mph(106 km/h) at Cape Henlopen.
55,"Danielle caused 2 to 3-foot(.6 to.9-m) higher than normal tides, along with strong waves."
56,The combination of the two flooded some coastal houses and resulted in significant beach and dune erosion.
57,The waves also sank four boats and washed away a dock near Slaughter Beach.
58,"Gusty winds caused power outages in New Castle County, while persistent rainfall caused sewer interruptions."
59,"Overall, with the exception of the severe beach erosion, damage was minimal."
60,"--Northeast United States--
Tropical Storm Danielle dropped light rainfall across much of New Jersey, with some areas in the southwestern portion of the state experiencing over 3 inches(76 mm)."
61,Strong waves from the storm washed out miles of beaches along the coastline.
62,"In Ocean City, the waves passed over the boardwalk and into houses."
63,"Further north, the waves crashed a four-person, 35-foot(10-m) sailboat near Island Beach State Park."
64,"Two managed to swim safely to shore, though the other two occupants drowned."
65,2 inches of rain fell in Pennsylvania.
66,"Danielle's outer bands dropped light rainfall from Connecticut through Maine, with isolated locations in Rhode Island and Massachusetts reporting over 3 inches(76 mm)."
67,Damage in New England is unknown.
