index,sentences
72,"In neighboring Florida, the storm dropped heavy rainfall along the panhandle, peaking at 9.56 in(243 mm) in Apalachicola."
73,"The rains caused flooding, notably in Franklin, Wakulla, and Leon counties, all of which closed schools and public buildings."
74,Flood warnings were issued for areas affected by Tropical Storm Gordon five days prior.
75,"High rainfall caused the Sopchoppy River to exceed its banks and reach a record crest of 34.9 ft(10.6 m), breaking the previous record set in 1970."
76,Several homes and nearby roads were flooded near the river.
77,"About 100 homes were flooded in Leon County, and 70 streets were flooded in Tallahassee."
78,Portions of U.S. Highway 98 were flooded in Port St. Joe and near Carrabelle.
79,About 70 people had to evacuate their homes due to the flooding.
80,Flooding was minimal in the western Florida panhandle due to drought conditions the previous summer.
81,"Sustained winds across the state peaked at 30 mph(48 km/h), though gusts reached 45 mph(72 km/h) at Cape San Blas."
82,"At that location, there was over $100,000 in road damage and beach loss."
83,"The winds combined with the heavy rainfall caused trees to fall onto power lines, leaving about 5,000 people without electricity."
84,"The storm spawned 6 tornadoes along the panhandle, one of which destroyed several mobile homes in Wakulla."
85,"As the storm moved ashore, tides were less than 2 ft(0.61 m) above normal, but were high enough to cause minor beach erosion."
86,"In Leon County, the storm destroyed two homes and six mobile homes, and damaged more than 120 homes in Wakulla County."
87,"When Helene moved through Georgia, it had sustained winds of around 30 mph(48 km/h), with higher gusts."
88,"It dropped heavy rainfall along its path, with a statewide peak of 5.13 in(130 mm) in Dunwoody."
89,The rainfall alleviated persistent drought conditions across the state.
90,"However, the combination of winds and rainfall downed trees and power lines; one falling tree damaged a car in Sandersville."
91,"To the northwest of Georgia, rainfall spread into Tennessee, reaching 3.12 in(79 mm) in Copperhill."
92,"As Helene moved through South Carolina, it spawned an F2 tornado in Martin that killed one person, injured six, and damaged 12 houses."
93,"The highest rainfall in the United States associated with Helene was a total of 9.60 in(244 mm) in Bamberg, though weather radar images estimated totals of up to 14 in(360 mm)."
94,"The rains caused flooding along Highway 47, in nearby Orangeburg County where 5.3 in(130 mm) were recorded."
95,"In Berkeley County, a woman died after hydroplaning and driving her car into a tree."
96,"Rainfall in North Carolina peaked at 8.31 in(211 mm) in Longwood; in Jacksonville, the precipitation caused street flooding."
97,"Off the shore of North Carolina, a station at Diamond Shoal Light reported wind gusts of 70 mph(110 km/h) while Helene was re-intensifying into a tropical storm."
98,"Along the coast, the highest gusts were 52 mph(84 km/h), reported at both Cape Lookout and Duck."
99,Rainfall from the storm extended through Virginia and into Delaware.
100,"--Canada--
After re-intensifying into a tropical storm for a second time, Helene passed to the southeast of Atlantic Canada."
101,"Although its strongest winds remained offshore, the outer rainbands dropped light precipitation, peaking at 0.89 in(22.5 mm) in eastern Nova Scotia, and 1.18 in(30 mm) in southeastern Newfoundland."
102,"-Aftermath-
On October 3, United States President Bill Clinton declared nine Florida counties as disaster areas, which allocated federal funding for debris removal, emergency services, and restoration of damaged public facilities."
103,"In Franklin County, many residents had to boil water before consumption due to contaminated water wells."
104,"As a result, the local Red Cross chapter provided water bottles to the affected residents."
105,"The Red Cross also deployed two Mobile Feeding Vehicles to Wakulla County, and a total of 700 meals were ultimately distributed."
