,sentences
23,"The depression strengthened rather quickly, and on the morning of July 10 a United States Air Force reconnaissance flight indicated that the tropical cyclone had strengthened to tropical storm intensity while situated 740 mi(1,190 km) south of Louisiana."
24,"Due to the storm's intensity, the system was consequentially named Bob, making it the first Atlantic tropical cyclone to receive a masculine name since 1952."
25,At the time the flight measured a minimum barometric pressure of 998 mbar(hPa; 29.47 inHg).
26,"Upon reaching tropical storm intensity, Bob began to curve further northward as opposed to its prior, northeasterly track, due to the presence of a strengthening, upper-level trough to the storm's west."
27,"The trough greatly enhanced atmospheric conditions around Bob, allowing for the tropical cyclone to intensify rapidly."
28,"At 0000 UTC on July 11, Bob was estimated to have strengthened to hurricane intensity based on additional reconnaissance flight data."
29,This made Bob the first July hurricane in the Gulf of Mexico since Hurricane Debra in 1959.
30,"Though the hurricane's maximum sustained winds would hold steady at 75 mph(120 km/h) for approximately the ensuing twelve hours, the storm's barometric pressure would fluctuate before reaching a minimum of 981 mbar(hPa; 28.98 inHg) at 1200 UTC that day; this would be Bob's lowest documented barometric pressure."
31,"At around the same time, the hurricane made landfall west of Grand Isle, Louisiana."
32,"After moving inland, Bob quickly weakened due to land interaction, and was a mere tropical depression by July 12."
33,"However, the resulting depression would maintain its intensity for the next several days."
34,"On July 13, the low-pressure area drifted into southern Ohio and afterwards curved eastward."
35,"On July 16, Bob's remnants moved into the western Atlantic, where they were subsequently absorbed by another low-pressure area."
36,"-Preparations-
As Bob moved towards the U.S. Gulf Coast, the National Weather Service issued gale warnings for coastal regions extending from Vermilion Bay, Louisiana to Biloxi, Mississippi at 1600 UTC on July 10."
37,These warnings were upgraded to hurricane warnings upon Bob's strengthening to such an intensity.
38,"During the storm's existence, forecasts and predictions from the National Hurricane Center were of greater accuracy than on average."
39,"In addition to tropical cyclone warnings and watches, the agency also advised small craft from Port Arthur, Texas to Pensacola, Florida to remain in port."
40,"In preparation for the storm, 8,000 offshore oil workers were evacuated."
41,"Despite typical evacuation procedure, Chevron Corporation immediately evacuated their offshore oil staff rather than executing a three phase evacuation plan."
42,"On land, 2,500 residents and tourists on Grand Isle were also evacuated."
43,"In total, as many as 80,000 people evacuated from coastal areas leading up to Bob's eventual landfall."
44,"In New Orleans, 4,000 people checked into the city's 19 evacuation centers."
45,The Mississippi River was temporarily closed to shipping by the United States Coast Guard for eight hours before reopening after the storm.
46,"-Impact-
Effects in the United States as a result of Bob were typical of a minimal hurricane, and were not of considerable nature."
47,"At the coast, Bob caused moderate storm surge, resulting in coastal waters rising to as high as 5 ft(1.5 m) above normal."
48,The rough seas sunk several boats and caused significant damage to piers.
49,"A levee on Grand Isle was breached by the surge, resulting in some coastal inundation."
50,Minor beach erosion occurred on the coast of Mississippi.
51,"In Mobile County, Alabama, the wave action damaged cars near the shore and disrupted seafood operations in the Bayou La Batre area."
52,"Strong winds were reported in association with the storm, but no station documented sustained winds within hurricane force."
53,"The highest wind observation was taken on an oil rig off the coast of Louisiana, which clocked sustained winds at 63 mph(101 km/h)."
54,"However, the strongest wind gust in association with the hurricane was measured in Bay St. Louis, Mississippi, at 64 mph(103 km/h)."
55,"In New Orleans, these strong winds damaged trees and power lines, and also broke several windows in the city's central business district."
56,"In addition, widespread power outages impacted 53,000 electricity customers in the city's area."
57,"Similar incidents took place in Houma, Louisiana."
58,"In Lafitte, Louisiana, two men were blown off of the roof of a marina, and one of them was killed; this would be the only death associated with the hurricane."
59,"Further east, in Florida, trees and power lines were downed in Niceville."
60,Hurricane Bob also produced a widespread area of rain that was heavy in localized areas.
61,"Rainfall associated with the hurricane peaked at 7.16 in(182 mm) in Louisiana, where the storm made landfall."
62,"Statewide rainfall totals peaked at 6.64 and 4.81 in(169 and 122 mm) in Pascagoula, Mississippi and Robertsdale, Alabama, respectively."
63,"Further inland, the remnants of Bob dropped heavy rainfall in the Midwestern United States, peaking at 5.72 in(145 mm) at a station in Indiana University Bloomington."
64,"In addition to the strong winds and heavy rain, Bob produced eight tornadoes across the southern United States."
65,"One of these tornadoes caused $27,500 in damage after striking areas of Biloxi, Mississippi."
66,"Another tornado impacted areas near Red Level, Alabama destroying or damaging several buildings and uprooting trees."
67,"Overall, Hurricane Bob caused approximately $20 million in damage."
68,"However, $15 million in damage resulted from flooding in Indiana, with the rest of the storm's monetary impacts arising from coastal regions."
69,"-Notes-

== References =="
